ID,Nombre,Equipo,Puntaje,Competencias
9626,Copeno,Corinthians,68.3,22
564,Fiso,Sao Paulo,63.7,33
5107,Naretore,Palmeiras,56.1,5
7982,Remava,Santos,74.5,29
1843,Soto,Flamengo,55.3,14
1806,Tomi,Cruzeiro,67.2,36
6235,Jasaca,Palmeiras,50.3,13
4515,Totorodi,Sao Paulo,71.0,6
4503,Paseca,Botafogo,82.9,21
4508,Safeca,Cruzeiro,53.9,18
4237,Seseca,Santos,82.6,5
3599,Dibafi,Palmeiras,81.2,31
4142,Diseja,Cruzeiro,54.9,10
304,Jafifi,Flamengo,53.4,6
9009,Rofero,Palmeiras,52.8,9
1438,Datibaro,Botafogo,91.1,7
8554,Nolure,Sao Paulo,66.8,13
4478,Papa,Santos,91.0,28
4827,Tisodalu,Botafogo,95.8,31
245,Pefilu,Cruzeiro,73.7,19
5316,Reretova,Gremio,85.6,4
2419,Sami,Sao Paulo,93.1,16
4099,Luda,Gremio,59.1,3
4397,Sajabama,Atletico Mineiro,91.2,8
2945,Mamamise,Cruzeiro,84.9,38
9749,Datopa,Gremio,83.0,40
2519,Rono,Internacional,73.0,30
4378,Tova,Internacional,72.6,25
8155,Somada,Botafogo,85.2,19
1901,Padi,Gremio,52.1,4
4736,Lesa,Botafogo,59.9,13
4627,Fiti,Sao Paulo,60.7,23
5862,Lesese,Flamengo,96.0,7
6792,Pebatile,Santos,53.4,22
6730,Pecato,Sao Paulo,75.5,10
1108,Jafebapa,Sao Paulo,64.3,7
3396,Semami,Flamengo,70.8,28
7201,Serojana,Internacional,62.5,8
9857,Lenabale,Corinthians,81.5,26
9774,Basecadi,Atletico Mineiro,97.2,20
8260,Fesope,Atletico Mineiro,80.5,17
2931,Nasa,Flamengo,69.6,1
8949,Najada,Atletico Mineiro,51.1,1
9730,Cotife,Santos,91.5,21
2736,Reba,Santos,93.7,2
6288,Didi,Vasco da Gama,80.7,27
1244,Vafima,Sao Paulo,93.8,34
2669,Toda,Botafogo,62.8,1
1549,Tipalema,Atletico Mineiro,97.1,9
6702,Naro,Botafogo,92.9,3
237,Serole,Sao Paulo,95.8,19
5909,Cadalule,Fluminense,59.9,25
5790,Sepe,Gremio,85.0,36
649,Badi,Vasco da Gama,72.0,3
5852,Diluto,Santos,91.1,19
85,Tipe,Palmeiras,98.7,7
628,Colujana,Gremio,62.0,1
9498,Soma,Corinthians,89.8,5
9418,Nadaso,Internacional,80.7,37
3644,Divaca,Santos,64.7,35
2325,Calesena,Sao Paulo,61.4,32
8858,Parodico,Corinthians,92.1,32
744,Cojabadi,Cruzeiro,56.6,18
7546,Fifefi,Flamengo,55.1,36
2497,Fire,Vasco da Gama,58.8,37
2225,Vafinole,Internacional,69.9,11
7353,Redafi,Cruzeiro,82.1,20
5348,Noca,Cruzeiro,67.6,37
9507,Revami,Vasco da Gama,88.9,11
2031,Sonaja,Fluminense,71.4,25
5666,Vabaca,Santos,91.3,9
2344,Tipa,Cruzeiro,92.0,6
7284,Soja,Atletico Mineiro,55.3,23
571,Pacocano,Fluminense,94.5,1
6561,Lejaca,Botafogo,57.9,15
3354,Diro,Palmeiras,58.7,21
7656,Baso,Atletico Mineiro,67.6,5
5545,Rojaco,Cruzeiro,80.8,37
8385,Dapa,Fluminense,80.8,37
357,Fileluja,Cruzeiro,90.1,17
8709,Sonale,Santos,94.1,28
1459,Rojase,Botafogo,54.3,39
6690,Cole,Corinthians,61.4,34
7266,Pedanoma,Atletico Mineiro,76.2,21
9248,Vapeso,Palmeiras,55.8,15
5868,Mabarona,Flamengo,67.4,6
7726,Rerocaba,Flamengo,90.5,18
3067,Tomamidi,Fluminense,69.4,35
5508,Serobase,Palmeiras,65.3,35
5772,Naso,Internacional,99.5,20
5716,Basofife,Internacional,73.8,17
9143,Saca,Santos,91.5,26
9187,Tonosese,Cruzeiro,80.2,26
6850,Masesaso,Gremio,69.4,35
1652,Tifecaba,Flamengo,77.5,38
9731,Salutoja,Cruzeiro,66.4,10
1230,Fidifeda,Flamengo,77.2,5
5080,Baco,Corinthians,99.9,31
4317,Mipesaba,Gremio,96.5,29
2676,Lecono,Atletico Mineiro,66.2,39
5947,Sefe,Sao Paulo,90.4,21
5319,Tirese,Sao Paulo,66.6,38
2415,Dapareda,Fluminense,72.2,14
7669,Cadisape,Santos,56.3,40
7762,Reda,Flamengo,56.4,8
1614,Vapaco,Sao Paulo,58.8,11
3493,Nabasosa,Botafogo,97.5,10
891,Namina,Santos,54.1,39
6489,Rope,Sao Paulo,60.0,23
194,Pati,Atletico Mineiro,60.9,5
2007,Mami,Santos,72.2,36
8204,Lufico,Internacional,72.1,21
3928,Jacalena,Vasco da Gama,86.8,13
9551,Misecofi,Botafogo,70.4,12
3078,Jafida,Cruzeiro,90.6,16
212,Codana,Vasco da Gama,59.2,12
7382,Nosasa,Botafogo,85.2,29
2748,Tiletito,Sao Paulo,86.4,38
8405,Caro,Gremio,77.5,10
6737,Jami,Cruzeiro,63.2,32
9690,Nomaroda,Internacional,50.7,25
4461,Fimato,Corinthians,88.1,9
566,Sotiso,Santos,60.0,8
8931,Tovama,Atletico Mineiro,99.9,27
6691,Tivale,Internacional,88.6,13
7314,Pase,Vasco da Gama,93.9,32
4545,Cacadito,Cruzeiro,82.2,17
9608,Luso,Cruzeiro,62.0,23
8889,Levababa,Botafogo,83.4,30
5207,Seluco,Internacional,85.4,19
711,Tojaso,Internacional,98.9,26
1815,Soticona,Vasco da Gama,85.1,9
6569,Cotovano,Sao Paulo,86.8,38
5018,Tore,Palmeiras,88.4,4
2286,Fipe,Atletico Mineiro,53.4,7
4445,Fidino,Corinthians,83.9,20
6643,Rere,Palmeiras,57.0,30
3134,Janono,Botafogo,63.7,32
4774,Sada,Botafogo,76.5,22
8601,Sadi,Cruzeiro,92.7,27
5377,Mafi,Sao Paulo,58.0,2
3872,Nadada,Botafogo,86.4,12
9676,Vareti,Cruzeiro,98.7,28
157,Bati,Gremio,57.0,30
3345,Timami,Internacional,67.2,24
6595,Jareresa,Internacional,52.9,17
8553,Lefife,Cruzeiro,66.5,10
2282,Janaca,Atletico Mineiro,77.1,5
7931,Lujapaca,Palmeiras,62.2,39
2693,Fitodile,Cruzeiro,84.2,8
366,Pada,Vasco da Gama,54.1,3
5656,Vadiba,Botafogo,61.2,28
7843,Cafesa,Santos,74.5,2
5841,Rojatosa,Vasco da Gama,81.0,17
9157,Leretire,Cruzeiro,73.8,24
3015,Semida,Palmeiras,99.2,19
7530,Sapa,Gremio,99.1,6
4636,Coseti,Cruzeiro,86.6,26
3552,Romadino,Flamengo,58.9,19
9940,Bavamifi,Vasco da Gama,54.3,18
3281,Dipeti,Palmeiras,81.4,4
463,Nomitope,Sao Paulo,72.4,25
2784,Pena,Palmeiras,54.8,1
7232,Sodito,Atletico Mineiro,81.1,30
2668,Ropeluse,Atletico Mineiro,70.4,40
4874,Robaresa,Sao Paulo,77.2,40
9016,Vami,Corinthians,96.6,13
6686,Conopeti,Botafogo,52.1,20
4753,Nafidale,Corinthians,50.3,30
2922,Vafirore,Fluminense,99.3,34
4119,Vaca,Atletico Mineiro,89.2,36
1084,Dinaro,Palmeiras,74.6,2
2402,Sofipeca,Atletico Mineiro,94.6,40
396,Fiba,Internacional,51.0,21
6269,Fimaro,Palmeiras,83.3,5
7622,Baluseva,Vasco da Gama,59.6,17
2719,Noparo,Santos,56.5,10
2797,Nominalu,Internacional,86.9,13
6307,Cato,Internacional,87.1,39
6448,Mareda,Atletico Mineiro,68.8,20
1350,Feroto,Cruzeiro,66.6,10
1824,Ferovale,Botafogo,93.2,31
2149,Soma,Gremio,89.8,40
5008,Leco,Vasco da Gama,63.9,39
5247,Natomi,Internacional,51.5,11
1879,Capema,Fluminense,51.1,39
133,Sojaso,Palmeiras,79.0,1
7336,Macafi,Palmeiras,63.9,18
705,Difi,Santos,69.8,24
3201,Reticase,Gremio,89.7,22
94,Napanaba,Atletico Mineiro,89.7,14
28,Sano,Vasco da Gama,60.2,23
6846,Luso,Internacional,80.2,21
9466,Romibare,Botafogo,66.4,36
1292,Jafise,Internacional,72.2,36
751,Fipe,Gremio,98.1,20
9178,Namifero,Sao Paulo,72.8,14
2085,Nosesova,Fluminense,96.6,35
2982,Mifelefi,Fluminense,80.6,31
1948,Direle,Corinthians,90.3,27
1171,Mana,Flamengo,57.6,36
2729,Rolejase,Santos,50.4,37
9629,Cono,Gremio,97.2,10
8977,Badaco,Santos,93.4,7
9681,Sosaseja,Internacional,88.6,1
9301,Vadidi,Palmeiras,84.9,39
2285,Vaso,Vasco da Gama,56.0,12
8087,Canasesa,Internacional,77.3,22
555,Romafi,Cruzeiro,66.9,24
1528,Pefifeco,Cruzeiro,63.9,39
9660,Luvana,Sao Paulo,92.9,15
4240,Peva,Cruzeiro,56.5,30
971,Letimiti,Flamengo,67.7,17
3537,Divada,Atletico Mineiro,64.8,15
6509,Tocaja,Atletico Mineiro,61.8,27
2866,Cajano,Flamengo,85.3,34
5040,Fesoreno,Santos,72.2,8
2296,Febami,Sao Paulo,82.8,11
2176,Lejamisa,Cruzeiro,69.9,4
4220,Dipese,Palmeiras,65.7,25
7185,Fefinopa,Palmeiras,88.8,38
5069,Fibape,Sao Paulo,85.0,9
9442,Lefito,Palmeiras,80.8,19
2614,Dino,Corinthians,96.1,21
8735,Dapesase,Vasco da Gama,70.5,28
3736,Janosena,Fluminense,70.4,10
4123,Damafeva,Cruzeiro,97.4,11
5750,Cofeti,Flamengo,88.3,18
9760,Jasasemi,Cruzeiro,82.0,21
8002,Vacare,Santos,99.3,22
2483,Pase,Corinthians,84.9,23
3677,Catire,Santos,83.2,5
8520,Vacati,Corinthians,57.0,4
4960,Didi,Gremio,90.3,36
5967,Minalepe,Fluminense,67.2,36
3125,Roco,Corinthians,73.5,37
2389,Nacojafi,Sao Paulo,80.2,31
2374,Lumipa,Cruzeiro,52.5,21
6168,Lemipemi,Palmeiras,57.2,30
5101,Noto,Palmeiras,84.2,1
