ID,Nombre,Equipo,Puntaje,Competencias
2086,Caca,Gremio,88.7,24
402,Fimise,Corinthians,95.5,17
2600,Vava,Gremio,74.4,34
5130,Sosape,Botafogo,52.8,12
4116,Lererepa,Fluminense,73.8,17
5513,Catifeda,Atletico Mineiro,50.5,19
5349,Cofife,Sao Paulo,68.6,29
9904,Dajanofe,Flamengo,74.3,27
1464,Vasenalu,Flamengo,81.2,8
6743,Vatifesa,Botafogo,77.7,40
5432,Fesale,Internacional,61.4,5
5196,Colufe,Internacional,82.3,12
828,Caluluse,Sao Paulo,96.1,23
9438,Pemico,Botafogo,66.1,40
8897,Madifepe,Cruzeiro,72.1,7
9424,Reno,Atletico Mineiro,74.4,5
8493,Filusosa,Cruzeiro,83.9,36
3502,Jajase,Atletico Mineiro,50.6,10
8556,Manale,Palmeiras,98.8,17
2652,Roro,Internacional,79.6,17
3603,Sofetodi,Atletico Mineiro,78.9,29
8970,Fenapati,Santos,64.6,4
8554,Cati,Sao Paulo,74.3,1
6186,Malesele,Fluminense,60.1,26
6415,Vadi,Sao Paulo,73.0,19
8615,Jamisodi,Internacional,70.1,6
2325,Papama,Fluminense,73.3,31
580,Tofi,Palmeiras,80.1,22
8821,Febafi,Gremio,62.5,36
453,Sesavana,Internacional,60.8,15
9734,Lefi,Vasco da Gama,90.2,2
6459,Totilumi,Santos,75.1,15
1124,Soda,Gremio,65.0,11
7745,Mireva,Santos,76.3,26
6434,Jacamafi,Fluminense,64.9,4
6126,Titose,Internacional,90.8,39
5411,Dipe,Internacional,84.1,16
2503,Noba,Flamengo,89.1,13
1176,Tonalefi,Gremio,61.9,2
6368,Copasena,Gremio,93.7,5
9188,Mafe,Santos,70.8,4
3358,Banofeno,Cruzeiro,91.4,1
2668,Lujano,Gremio,57.6,6
744,Papese,Gremio,71.1,23
9758,Vapecofe,Gremio,71.0,18
7346,Jaro,Fluminense,87.6,5
2380,Lepenada,Palmeiras,75.2,10
4666,Seroto,Palmeiras,90.2,27
7130,Jabacare,Atletico Mineiro,93.8,27
7531,Vapema,Fluminense,72.3,16
784,Pabaseto,Sao Paulo,75.5,26
9481,Jasonano,Internacional,59.9,39
7929,Cobano,Fluminense,61.2,15
3470,Reso,Vasco da Gama,91.4,18
1665,Femaco,Atletico Mineiro,89.7,33
4140,Rerojafi,Corinthians,83.9,18
931,Seroja,Internacional,58.5,25
8186,Feleca,Sao Paulo,97.1,37
4634,Cafitipe,Corinthians,95.6,39
4123,Baro,Palmeiras,66.8,23
8138,Miso,Flamengo,70.5,8
7023,Rosafi,Atletico Mineiro,70.3,40
9182,Matimafe,Palmeiras,71.3,36
2220,Fiti,Corinthians,81.8,6
4204,Cosenoro,Flamengo,70.9,5
8467,Solufe,Palmeiras,60.6,21
7550,Sesalupa,Internacional,88.7,26
8387,Toso,Internacional,91.2,7
589,Jatopa,Internacional,89.4,3
6360,Rore,Santos,53.4,30
4923,Novapafi,Atletico Mineiro,67.9,13
8068,Notoseba,Sao Paulo,66.5,35
6798,Codi,Botafogo,53.2,18
7649,Topesa,Fluminense,81.8,1
73,Cobato,Botafogo,95.5,26
3682,Socolufe,Gremio,56.6,16
5023,Minamifi,Internacional,61.9,15
3727,Dinacoda,Palmeiras,59.7,32
7999,Dasati,Internacional,82.9,40
1823,Sepeno,Santos,76.5,16
3498,Noda,Sao Paulo,67.7,24
8778,Refifesa,Palmeiras,63.4,24
5611,Luledile,Atletico Mineiro,66.4,32
8977,Fero,Botafogo,57.0,10
5011,Pedati,Gremio,56.5,36
3469,Lepedi,Vasco da Gama,67.0,13
952,Babase,Atletico Mineiro,82.9,25
6243,Lunajana,Flamengo,61.9,3
5188,Peno,Internacional,57.6,5
5100,Vafilu,Internacional,82.9,5
5977,Sejaro,Flamengo,87.1,12
6870,Masolu,Fluminense,59.0,34
4681,Cacomapa,Santos,72.6,16
6048,Leca,Corinthians,69.1,17
1190,Revafi,Palmeiras,56.0,26
7729,Dibacaca,Botafogo,75.5,9
9152,Mileva,Santos,70.4,5
4691,Rojatore,Flamengo,76.4,23
6218,Sefi,Botafogo,98.7,14
804,Socoto,Vasco da Gama,77.1,35
2552,Rocano,Atletico Mineiro,54.5,37
2098,Dida,Vasco da Gama,81.1,7
6234,Pedapana,Fluminense,61.0,14
61,Sosa,Santos,89.4,5
2124,Paja,Corinthians,64.6,33
3525,Cacale,Cruzeiro,60.8,15
7970,Coti,Sao Paulo,75.1,7
5776,Casa,Flamengo,64.0,33
9978,Coso,Corinthians,77.7,34
5621,Semiva,Corinthians,51.2,34
4707,Notosoba,Internacional,63.1,5
2911,Pava,Flamengo,75.0,15
4205,Dalefele,Internacional,63.4,11
8137,Cadadica,Sao Paulo,74.0,14
9458,Midiba,Fluminense,57.8,23
4878,Toja,Vasco da Gama,96.5,20
7240,Nacoso,Gremio,87.9,3
4689,Tonope,Sao Paulo,82.9,27
4177,Copavafi,Palmeiras,67.9,12
1627,Direto,Gremio,83.4,28
4037,Rero,Corinthians,90.3,31
6035,Cotole,Atletico Mineiro,69.4,26
613,Jasoba,Palmeiras,84.1,4
8679,Malerofe,Atletico Mineiro,79.7,13
7220,Vapa,Flamengo,50.3,16
5131,Patotica,Botafogo,59.4,32
3237,Casemapa,Cruzeiro,94.9,22
3209,Mana,Santos,74.2,7
7582,Pafeco,Internacional,93.5,36
5508,Tiditofe,Fluminense,64.4,38
8167,Rotile,Internacional,65.1,10
7609,Varo,Botafogo,65.0,14
3032,Lelupese,Gremio,97.8,36
5325,Feseja,Santos,71.4,34
3425,Bada,Botafogo,61.4,8
8245,Nale,Corinthians,67.4,25
6160,Roma,Santos,88.5,8
1937,Paca,Palmeiras,93.7,2
8976,Noma,Flamengo,89.2,31
8212,Filu,Cruzeiro,61.3,12
3152,Mamaco,Santos,96.7,2
6450,Lemiso,Flamengo,69.2,19
7156,Dipa,Sao Paulo,86.8,19
1403,Jaro,Santos,77.7,19
7205,Misore,Gremio,58.4,34
