id,nombre,equipo,puntaje,competencias
1,Deportista_1,Equipo_1,7,913728297
2,Deportista_2,Equipo_2,16,913728297
3,Deportista_3,Equipo_3,16,913728297
4,Deportista_4,Equipo_4,13,913728297
5,Deportista_5,Equipo_5,2,913728297
6,Deportista_6,Equipo_6,8,913728297
7,Deportista_7,Equipo_7,20,913728297
8,Deportista_8,Equipo_8,7,913728297
9,Deportista_9,Equipo_9,7,913728297
10,Deportista_10,Equipo_10,17,913728297
11,Deportista_11,Equipo_1,9,913728297
12,Deportista_12,Equipo_2,10,913728297
13,Deportista_13,Equipo_3,11,913728297
14,Deportista_14,Equipo_4,4,913728297
15,Deportista_15,Equipo_5,16,913728297
16,Deportista_16,Equipo_6,3,913728297
17,Deportista_17,Equipo_7,19,913728297
18,Deportista_18,Equipo_8,8,913728297
19,Deportista_19,Equipo_9,17,913728297
20,Deportista_20,Equipo_10,3,913728297
21,Deportista_21,Equipo_1,14,913728297
22,Deportista_22,Equipo_2,20,913728297
23,Deportista_23,Equipo_3,18,913728297
24,Deportista_24,Equipo_4,5,913728297
25,Deportista_25,Equipo_5,11,913728297
26,Deportista_26,Equipo_6,7,913728297
27,Deportista_27,Equipo_7,1,913728297
28,Deportista_28,Equipo_8,14,913728297
29,Deportista_29,Equipo_9,11,913728297
30,Deportista_30,Equipo_10,2,913728297
31,Deportista_31,Equipo_1,6,913728297
32,Deportista_32,Equipo_2,8,913728297
33,Deportista_33,Equipo_3,6,913728297
34,Deportista_34,Equipo_4,10,913728297
35,Deportista_35,Equipo_5,18,913728297
36,Deportista_36,Equipo_6,16,913728297
37,Deportista_37,Equipo_7,6,913728297
38,Deportista_38,Equipo_8,8,913728297
39,Deportista_39,Equipo_9,5,913728297
40,Deportista_40,Equipo_10,11,913728297
41,Deportista_41,Equipo_1,9,913728297
42,Deportista_42,Equipo_2,19,913728297
43,Deportista_43,Equipo_3,5,913728297
44,Deportista_44,Equipo_4,12,913728297
45,Deportista_45,Equipo_5,20,913728297
46,Deportista_46,Equipo_6,1,913728297
47,Deportista_47,Equipo_7,9,913728297
48,Deportista_48,Equipo_8,13,913728297
49,Deportista_49,Equipo_9,7,913728297
50,Deportista_50,Equipo_10,20,913728297
51,Deportista_51,Equipo_1,11,913728297
52,Deportista_52,Equipo_2,19,913728297
53,Deportista_53,Equipo_3,2,913728297
54,Deportista_54,Equipo_4,3,913728297
55,Deportista_55,Equipo_5,13,913728297
56,Deportista_56,Equipo_6,17,913728297
57,Deportista_57,Equipo_7,1,913728297
58,Deportista_58,Equipo_8,2,913728297
59,Deportista_59,Equipo_9,10,913728297
60,Deportista_60,Equipo_10,20,913728297
61,Deportista_61,Equipo_1,10,913728297
62,Deportista_62,Equipo_2,18,913728297
63,Deportista_63,Equipo_3,12,913728297
64,Deportista_64,Equipo_4,16,913728297
65,Deportista_65,Equipo_5,8,913728297
66,Deportista_66,Equipo_6,17,913728297
67,Deportista_67,Equipo_7,14,913728297
68,Deportista_68,Equipo_8,6,913728297
69,Deportista_69,Equipo_9,4,913728297
70,Deportista_70,Equipo_10,5,913728297
71,Deportista_71,Equipo_1,12,913728297
72,Deportista_72,Equipo_2,10,913728297
73,Deportista_73,Equipo_3,20,913728297
74,Deportista_74,Equipo_4,9,913728297
75,Deportista_75,Equipo_5,16,913728297
76,Deportista_76,Equipo_6,10,913728297
77,Deportista_77,Equipo_7,4,913728297
78,Deportista_78,Equipo_8,6,913728297
79,Deportista_79,Equipo_9,12,913728297
80,Deportista_80,Equipo_10,16,913728297
81,Deportista_81,Equipo_1,9,913728297
82,Deportista_82,Equipo_2,9,913728297
83,Deportista_83,Equipo_3,11,913728297
84,Deportista_84,Equipo_4,1,913728297
85,Deportista_85,Equipo_5,5,913728297
86,Deportista_86,Equipo_6,15,913728297
87,Deportista_87,Equipo_7,17,913728297
88,Deportista_88,Equipo_8,12,913728297
89,Deportista_89,Equipo_9,6,913728297
