ID,Nombre,Equipo,Puntaje,Competencias
10000,Sofe,Sao Paulo,97.1,25
9999,Pesedi,Palmeiras,88.0,12
9998,Tovacafi,Santos,81.4,6
9997,Dadi,Flamengo,90.3,38
9996,Mavadi,Santos,58.2,11
9995,Setisa,Palmeiras,91.3,16
9994,Titisafi,Sao Paulo,50.6,28
9993,Dadaro,Flamengo,52.0,9
9992,Sapale,Internacional,69.8,16
9991,Sadaredi,Internacional,66.5,11
9990,Male,Atletico Mineiro,80.9,11
9989,Fimi,Sao Paulo,87.6,22
9988,Misapafe,Gremio,56.0,21
9987,Nano,Cruzeiro,96.3,4
9986,Peredaso,Internacional,84.4,18
9985,Fenose,Gremio,64.0,26
9984,Coja,Santos,83.2,8
9983,Romipato,Santos,97.6,1
9982,Mafiti,Internacional,52.8,32
9981,Lufelu,Atletico Mineiro,63.0,38
9980,Nosava,Fluminense,90.4,7
9979,Relu,Fluminense,52.4,18
9978,Bada,Corinthians,91.6,26
9977,Disope,Flamengo,52.0,10
9976,Tiro,Santos,50.0,37
9975,Bapa,Sao Paulo,53.6,35
9974,Tidamida,Botafogo,75.7,39
9973,Lefito,Palmeiras,50.6,16
9972,Bapacosa,Vasco da Gama,86.9,34
9971,Disepafi,Palmeiras,76.0,32
9970,Luvale,Vasco da Gama,82.4,34
9969,Pefipemi,Santos,60.1,21
9968,Luvaro,Cruzeiro,54.7,22
9967,Tolule,Internacional,60.1,18
9966,Nase,Flamengo,98.1,12
9965,Peja,Cruzeiro,67.9,19
9964,Madiba,Botafogo,69.3,13
9963,Sodana,Botafogo,58.0,30
9962,Reto,Atletico Mineiro,90.3,15
9961,Dilucami,Palmeiras,69.2,34
9960,Cono,Atletico Mineiro,67.2,5
9959,Tofe,Palmeiras,54.5,37
9958,Mami,Sao Paulo,85.6,14
9957,Pedadife,Botafogo,77.5,23
9956,Dalecore,Botafogo,59.6,38
9955,Dama,Internacional,52.4,35
9954,Noba,Botafogo,95.2,37
9953,Pamapa,Botafogo,54.7,14
9952,Saro,Atletico Mineiro,74.3,1
9951,Femaco,Atletico Mineiro,59.9,3
9950,Rosovape,Fluminense,92.8,25
9949,Sasonare,Gremio,90.1,31
9948,Nanocona,Corinthians,59.9,27
9947,Fejatono,Sao Paulo,83.3,40
9946,Pelujati,Cruzeiro,69.6,33
9945,Dinaro,Atletico Mineiro,61.3,15
9944,Nape,Internacional,56.0,18
9943,Vaseto,Santos,71.3,39
9942,Feco,Flamengo,64.1,28
9941,Fipa,Sao Paulo,98.8,3
9940,Ropetiro,Cruzeiro,72.9,11
9939,Pevato,Palmeiras,98.5,4
9938,Pelusa,Flamengo,80.4,13
9937,Resesa,Vasco da Gama,90.3,33
9936,Minono,Atletico Mineiro,58.6,28
9935,Babana,Fluminense,78.7,6
9934,Soromise,Internacional,89.2,8
9933,Fedabava,Vasco da Gama,95.9,11
9932,Cava,Sao Paulo,90.5,7
9931,Baluluja,Fluminense,93.6,19
9930,Jasasa,Botafogo,74.4,37
9929,Mirecofi,Corinthians,99.1,21
9928,Cana,Corinthians,80.6,5
9927,Mileja,Santos,53.1,10
9926,Mapama,Palmeiras,71.5,40
9925,Sepalele,Palmeiras,53.6,18
9924,Lufife,Sao Paulo,65.8,12
9923,Somanare,Palmeiras,93.1,12
9922,Dijare,Sao Paulo,82.5,36
9921,Dape,Gremio,51.3,39
9920,Fiva,Vasco da Gama,56.9,38
9919,Timire,Corinthians,54.1,35
9918,Pefecaba,Vasco da Gama,61.7,11
9917,Toletoco,Cruzeiro,61.6,27
9916,Toja,Botafogo,92.0,19
9915,Camato,Flamengo,88.7,27
9914,Fija,Cruzeiro,87.7,12
9913,Noso,Botafogo,57.9,1
9912,Bami,Botafogo,83.9,40
9911,Sanoba,Palmeiras,54.4,25
9910,Batomidi,Internacional,77.1,23
9909,Pato,Palmeiras,97.0,7
9908,Toti,Vasco da Gama,75.8,1
9907,Dile,Sao Paulo,96.0,19
9906,Fepa,Internacional,76.5,21
9905,Jaresape,Fluminense,97.0,5
9904,Semama,Botafogo,91.5,29
9903,Coleda,Fluminense,81.6,29
9902,Vaba,Corinthians,84.0,35
9901,Fesaca,Cruzeiro,83.1,6
9900,Todipena,Cruzeiro,89.1,13
9899,Vafe,Gremio,69.7,22
9898,Dinadi,Cruzeiro,60.1,16
9897,Nare,Palmeiras,53.7,8
9896,Sesa,Botafogo,84.0,18
9895,Roja,Internacional,54.9,17
9894,Nofema,Fluminense,62.0,15
9893,Feva,Sao Paulo,54.7,31
9892,Soroselu,Corinthians,58.9,6
9891,Mitoca,Santos,67.5,36
9890,Seto,Vasco da Gama,57.0,13
9889,Pare,Botafogo,81.9,2
9888,Pato,Sao Paulo,68.5,8
9887,Sesati,Santos,84.7,17
9886,Base,Santos,53.0,4
9885,Rolu,Atletico Mineiro,57.1,11
9884,Lujatono,Gremio,71.2,7
9883,Tibafeja,Vasco da Gama,72.5,31
9882,Tiluma,Fluminense,51.6,9
9881,Repepese,Palmeiras,52.9,11
9880,Paluno,Sao Paulo,81.1,12
9879,Jafino,Palmeiras,87.3,10
9878,Dabami,Sao Paulo,68.0,31
9877,Cada,Botafogo,58.2,19
9876,Noroca,Santos,87.7,38
9875,Peda,Gremio,87.5,6
9874,Matife,Vasco da Gama,60.6,17
9873,Nosasedi,Corinthians,67.6,18
9872,Fepa,Gremio,59.4,20
9871,Base,Gremio,72.8,2
9870,Saseva,Gremio,88.9,34
9869,Pasa,Gremio,94.8,18
9868,Panasati,Corinthians,95.1,28
9867,Leluti,Gremio,83.3,26
9866,Tipele,Flamengo,88.0,20
9865,Nojatisa,Corinthians,55.7,11
9864,Pasaca,Botafogo,90.4,35
9863,Nodimiti,Fluminense,62.3,24
9862,Romaromi,Palmeiras,98.2,33
9861,Micodipa,Fluminense,51.6,31
9860,Jaso,Atletico Mineiro,67.3,29
9859,Safeca,Corinthians,67.8,12
9858,Redima,Internacional,53.3,7
9857,Tocapeda,Cruzeiro,53.9,12
9856,Fima,Flamengo,81.9,22
9855,Lupe,Sao Paulo,76.4,19
9854,Caso,Palmeiras,60.1,6
9853,Pecasero,Internacional,77.8,32
9852,Titoma,Gremio,64.0,15
9851,Dacaso,Cruzeiro,94.6,23
9850,Tidaca,Gremio,59.8,37
9849,Diti,Cruzeiro,77.7,34
9848,Papaja,Fluminense,90.8,8
9847,Nose,Corinthians,62.0,8
9846,Sapatomi,Palmeiras,62.0,6
9845,Vati,Palmeiras,62.3,28
9844,Filedima,Corinthians,98.0,14
9843,Pecoroco,Flamengo,99.2,16
9842,Cocoba,Cruzeiro,62.1,32
9841,Rose,Palmeiras,60.1,37
9840,Fisono,Gremio,79.5,21
9839,Rena,Santos,65.4,32
9838,Rotosaca,Internacional,52.1,22
9837,Lecano,Vasco da Gama,73.7,3
9836,Resemiva,Atletico Mineiro,89.2,17
9835,Jama,Gremio,89.1,1
9834,Codamife,Vasco da Gama,88.4,7
9833,Tipeluma,Botafogo,70.3,26
9832,Capeseja,Gremio,74.9,37
9831,Tiro,Santos,83.6,24
9830,Roja,Santos,85.9,6
9829,Panojami,Sao Paulo,50.8,31
9828,Nava,Santos,73.4,35
9827,Conoso,Botafogo,78.6,39
9826,Fenadaja,Internacional,61.5,24
9825,Pema,Corinthians,64.5,38
9824,Pavava,Atletico Mineiro,56.2,39
9823,Pedaco,Corinthians,83.6,26
